Stage,Stora Sj_fallet 1,Stora Sj_fallet 4,Stora Sj_fallet 2,Stora Sj_fallet 3,Domarudden 2,Hornslandet 1,Sonfj_llet 3,Sonfj_llet 1,Sonfj_llet 2
Operation,0.6,0.6,0.6,0.6,0,0.62,0.6,0.6,0.6
Construction,0.61,0.61,0.61,0.61,0,0.67,0.64,0.64,0.64
Design,0.62,0.62,0.62,0.62,0,0.68,0.6,0.6,0.6
