day,hour,value
1987,United States,1.87
1988,United States,1.92
1989,United States,2
1990,United States,2.07
1991,United States,2.06
1992,United States,2.04
1993,United States,2.02
1994,United States,2
1995,United States,1.98
1996,United States,1.98
1997,United States,1.97
1998,United States,2
1999,United States,2.01
2000,United States,2.05
2001,United States,2.03
2002,United States,2.02
2003,United States,2.05
2004,United States,2.06
2005,United States,2.06
2006,United States,2.11
2007,United States,2.12
2008,United States,2.07
2009,United States,2
2010,United States,1.93
2011,United States,1.9
2012,United States,1.9
2013,United States,1.98
2014,United States,1.97
2015,United States,1.97
